2018-11-20 06:27:29.0489 Info Loading Cardigann definition /app/Jackett/Definitions/arabafenice.yml 
2018-11-20 06:27:29.0741 Info Loading Cardigann definition /app/Jackett/Definitions/archetorrent.yml 
2018-11-20 06:27:29.0931 Info Loading Cardigann definition /app/Jackett/Definitions/asiandvdclub.yml 
2018-11-20 06:27:29.1126 Info Loading Cardigann definition /app/Jackett/Definitions/ast4u.yml 
2018-11-20 06:27:29.1305 Info Loading Cardigann definition /app/Jackett/Definitions/audiobookbay.yml 
2018-11-20 06:27:29.1589 Info Loading Cardigann definition /app/Jackett/Definitions/audiobooktorrents.yml 
2018-11-20 06:27:29.1795 Info Loading Cardigann definition /app/Jackett/Definitions/awesomehd.yml 
2018-11-20 06:27:29.1904 Info Loading Cardigann definition /app/Jackett/Definitions/b2s-share.yml 
2018-11-20 06:27:29.2265 Info Loading Cardigann definition /app/Jackett/Definitions/backups.yml 
2018-11-20 06:27:29.2386 Info Loading Cardigann definition /app/Jackett/Definitions/bigtorrent.yml 
2018-11-20 06:27:29.2549 Info Loading Cardigann definition /app/Jackett/Definitions/bigtower.yml 
2018-11-20 06:27:29.2766 Info Loading Cardigann definition /app/Jackett/Definitions/bithorlo.yml 
2018-11-20 06:27:29.2940 Info Loading Cardigann definition /app/Jackett/Definitions/bithumen.yml 
2018-11-20 06:27:29.3162 Info Loading Cardigann definition /app/Jackett/Definitions/bitme.yml 
2018-11-20 06:27:29.3333 Info Loading Cardigann definition /app/Jackett/Definitions/bitspyder.yml 
2018-11-20 06:27:29.3542 Info Loading Cardigann definition /app/Jackett/Definitions/bluebird.yml 
2018-11-20 06:27:29.3700 Info Loading Cardigann definition /app/Jackett/Definitions/blutopia.yml 
2018-11-20 06:27:29.3878 Info Loading Cardigann definition /app/Jackett/Definitions/btbit.yml 
2018-11-20 06:27:29.4024 Info Loading Cardigann definition /app/Jackett/Definitions/btdb.yml 
2018-11-20 06:27:29.4186 Info Loading Cardigann definition /app/Jackett/Definitions/btgigs.yml 
2018-11-20 06:27:29.4390 Info Loading Cardigann definition /app/Jackett/Definitions/btnext.yml 
